Headline,Summary,Link,Date
Entergy Spotlights Communities at the AABE Energy Policy Summit,"The American Association of Blacks in Energy brought together a diverse network of energy professionals representing every energy career field during its 2023 Energy Policy Summit held in Washington, D.C. in December.",https://www.csrwire.com/press_releases/794531-entergy-spotlights-communities-aabe-energy-policy-summit,02-08-24
"KeyBank Foundation Awards $100,000 Grant To Make the Road To Support ESOL Classes for Low-Income Immigrants in Westchester","KeyBank announces a two-year, $100,000 community impact grant made through KeyBank Foundation to Make The Road New York, the largest participatory immigrant organization in New York. The grant will help sustain the organization’s Westchester Adult Education Project.",https://www.csrwire.com/press_releases/794526-keybank-foundation-awards-100000-grant-make-road-support-esol-classes-low,02-08-24
MetLife Named to Fortune Magazine’s List of the World’s Most Admired Companies,"MetLife, Inc. (NYSE: MET) today announced that it has been named to Fortune magazine’s 2024 list of the “World’s Most Admired Companies.” This year’s list included eight life insurers in the annual report card of the best-regarded companies.",https://www.csrwire.com/press_releases/794521-metlife-named-fortune-magazines-list-worlds-most-admired-companies,02-08-24
Whirlpool Corporation: House+Home Ambassador Program,"The House+Home Ambassador Program (HHAP) is our human-centric approach to volunteerism here at Whirlpool Corporation, which puts empathy and human connection at its center — allowing employees the opportunity to experience the direct impact of their volunteer projects. ",https://www.csrwire.com/press_releases/794516-whirlpool-corporation-househome-ambassador-program,02-08-24
Essity on CDP’s Prestigious A List for Sustainability,The Hygiene and health company Essity has once again been awarded a place on CDP’s ‘A List’ for its leadership in corporate transparency and performance on forests by the global non-profit environmental organization CDP. ,https://www.csrwire.com/press_releases/794511-essity-cdps-prestigious-list-sustainability,02-08-24
A Deep Dive Into Nasdaq's ESG Solutions,"Randall Hopkins, Global Head of ESG Solutions at Nasdaq, discusses how Nasdaq helps companies streamline ESG data management, foster collaboration, and prioritize for stakeholder impact.",https://www.csrwire.com/press_releases/794506-deep-dive-nasdaqs-esg-solutions,02-08-24
Fifth Third Named One of America’s Most JUST Companies by JUST Capital and CNBC,"For a second consecutive year, Fifth Third was named to the JUST 100 list, part of JUST Capital and CNBC’s 2024 Rankings of America’s Most JUST Companies.",https://www.csrwire.com/press_releases/794501-fifth-third-named-one-americas-most-just-companies-just-capital-and-cnbc,02-08-24
Frito-Lay and Quaker Focus on Community Commitment: Major Donations and Scholarship Initiatives Mark 2023’s Impact,"As active contributors to the community, Frito-Lay and Quaker’s commitment to service is rooted in a strong drive to make a long-lasting positive impact.",https://www.csrwire.com/press_releases/794496-frito-lay-and-quaker-focus-community-commitment-major-donations-and,02-08-24
Del Monte Foods Earns Top Score in Human Rights Campaign Foundation's 2023-2024 Corporate Equality Index,"Del Monte Foods, Inc. proudly announced that it received a score of 100 on the Human Rights Campaign Foundation's 2023-2024 Corporate Equality Index (CEI), the nation's foremost benchmarking survey and report measuring corporate policies and practices related to LGBTQ+ workplace.",https://www.csrwire.com/press_releases/794491-del-monte-foods-earns-top-score-human-rights-campaign-foundations-2023-2024,02-08-24
Palm Oil and SAP Software Give Ugandan Farmers New Hope,"Much has changed for Nassozi Berna, her husband, and their seven children since she began farming oil palm trees on Kalangala, an island in Uganda’s Lake Victoria, 11 years ago. ",https://www.csrwire.com/press_releases/794486-palm-oil-and-sap-software-give-ugandan-farmers-new-hope,02-08-24
Southern Company Issues Annual Moving to Equity Report for 2023,"Southern Company today publishes its latest Moving to Equity report, showing notable achievements and impactful initiatives regarding the company’s strategy to foster a more inclusive and equitable culture.",https://www.csrwire.com/press_releases/794481-southern-company-issues-annual-moving-equity-report-2023,02-08-24
Tackling Scope 3 Emissions in Manufacturing,A recently published World Economic Forum (WEF) white paper – “The 'No-Excuse' Opportunities to Tackle Scope 3 Emissions in Manufacturing and Value Chains” – serves as a practical roadmap for businesses navigating the intricate terrain of Scope 3 decarbonization.,https://www.csrwire.com/press_releases/794476-tackling-scope-3-emissions-manufacturing,02-08-24
Three Steps to Cultivating Skilled Workforces Through Apprenticeships,"In the highly competitive construction industry, the strength of our labor force is critical. If a company can’t get the skilled construction tradespeople they need to complete a project, their position in the market may become obsolete. ",https://www.csrwire.com/press_releases/794471-three-steps-cultivating-skilled-workforces-through-apprenticeships,02-08-24
Lenovo and NAF Celebrate 10 Years of Helping Students Be Future-Ready,"This year, Lenovo and NAF are celebrating the 10-year anniversary of their partnership. ",https://www.csrwire.com/press_releases/794466-lenovo-and-naf-celebrate-10-years-helping-students-be-future-ready,02-08-24
Thai Union Is Driving Alignment and Improvement in the Seafood Sector Using the SSCI Benchmark Tool,"Seafood is one of the most traded commodities in the world and also one of the largest industries, with the sector employing at least 260 million workers worldwide. However, it is one of the most at-risk industries from a social sustainability perspective.",https://www.csrwire.com/press_releases/794461-thai-union-driving-alignment-and-improvement-seafood-sector-using-ssci,02-08-24
U.S. Conference of Mayors and Comcast Announce Digital Equity Challenge,The U.S. Conference of Mayors (USCM) and Comcast Corporation today announced a new $1.5 million grant awards program – Talent for Tomorrow: Digital Equity Challenge (The Challenge).,https://www.csrwire.com/press_releases/794456-us-conference-mayors-and-comcast-announce-digital-equity-challenge,02-08-24
"Elanco CEO, Jeff Simmons Launches Mission to Save 1 Million Puppies from Deadly Parvo","Last week I went out to that JP Morgan Healthcare Conference in San Francisco. Check them with thirteen companies. But there are other presenters that didn't get a chance to speak with. Take Alanco animal health, which makes medicine and vaccines for both pets and livestock.",https://www.csrwire.com/press_releases/794451-elanco-ceo-jeff-simmons-launches-mission-save-1-million-puppies-deadly-parvo,02-08-24
Tapestry Named to Fortune's World's Most Admired Companies,We’re thrilled to share that Tapestry has been named one of Fortune’s 2024 World’s Most Admired Companies for the first time! This annual list is considered one of the leading measures of corporate reputation among the world's largest companies.,https://www.csrwire.com/press_releases/794446-tapestry-named-fortunes-worlds-most-admired-companies,02-08-24
HARMAN Joins Eclipse Foundation’s Software Defined Vehicle Working Group — Paving The Path Forward For The Future of Automotive Software,"To shape the industry-wide effort to build a vendor-agnostic, open source ecosystem focused on creating the foundation for a new era in automotive, HARMAN announced it has joined the Eclipse Software Defined Vehicle (SDV) Working Group at The Eclipse Foundation.",https://www.csrwire.com/press_releases/794441-harman-joins-eclipse-foundations-software-defined-vehicle-working-group,02-08-24
Pepco Advocates for Continued Energy Assistance Funding and Reminds Customers to Act Now to Secure Support,Today is Low-Income Home Energy Assistance Program (LIHEAP) Action Day and Pepco employees are on Capitol Hill to meet with representatives and advocates for policies that protect funding for LIHEAP and support vulnerable households in the District of Columbia and Maryland.,https://www.csrwire.com/press_releases/794436-pepco-advocates-continued-energy-assistance-funding-and-reminds-customers-act,02-08-24
Hospital CIOs Weigh 5G As Digitized Medicine Pushes Wi-Fi to Its Limits,"With electronic records, medical devices, AR and VR, and AI apps to come, some hospital CIOs are evaluating private 5G networks to prepare for the inevitably bigger digital loads ahead.",https://www.csrwire.com/press_releases/794431-hospital-cios-weigh-5g-digitized-medicine-pushes-wi-fi-its-limits,02-08-24
Chemours and the National Safety Council Launch a New Scholarship Opportunity,"Chemours, a global chemistry company, and the National Safety Council, America’s leading nonprofit safety advocate, have partnered to launch the Diversity in Safety Scholarship Funded by Chemours.",https://www.csrwire.com/press_releases/794416-chemours-and-national-safety-council-launch-new-scholarship-opportunity,02-07-24
Atlantic City Electric Offers Important Energy Saving Tips and Energy Assistance Information for Customers During Cold Snap," Winter is officially here. As even colder temperatures can be expected through the coming months, leading to increased energy usage and potentially higher bills, Atlantic City Electric is committed to helping all customers use less energy",https://www.csrwire.com/press_releases/794411-atlantic-city-electric-offers-important-energy-saving-tips-and-energy,02-07-24
Gilead Named One of Newsweek America’s Greatest Workplaces for Diversity,"We’re proud to offer an inclusive culture that enables all people to do their best work, and we’re happy to be named one of Newsweek America’s Greatest Workplaces for Diversity for our efforts.",https://www.csrwire.com/press_releases/794406-gilead-named-one-newsweek-americas-greatest-workplaces-diversity,02-07-24
"Personas, Planeta y Desempeño, los Pilares de Griffith Foods por la Sostenibilidad","Para Griffith Foods medir su impacto es clave para crear mejores procesos donde tienen presencia, por eso, son signatarios y socios del Pacto Global de La ONU, el Consejo Empresarial Mundial para el Desarrollo Sostenible, la Iniciativa de Especias Sostenibles.",https://www.csrwire.com/press_releases/794401-personas-planeta-y-desempeno-los-pilares-de-griffith-foods-por-la,02-07-24
Duke Energy’s Rebates Program Helps Florida Customers Get Money Back for Making Home Improvements,"Duke Energy is encouraging Florida customers who are planning on making upgrades to their home to take advantage of the Home Energy Improvement rebates program, where they can earn up to $1,700 in rebate incentives.",https://www.csrwire.com/press_releases/794396-duke-energys-rebates-program-helps-florida-customers-get-money-back-making,02-07-24
Decade of Impact: Transforming Care in Tanzania,"Debora Magembe didn't know what to do. Heavy rains blocked roads from her home in Bantu village in Tanzania to the city of Tanga. While she would have been fine to stay home any other night, her baby had other plans.",https://www.csrwire.com/press_releases/794391-decade-impact-transforming-care-tanzania,02-07-24
Executive Predictions 2024: What’s Next for Automotive?,"The auto sector has undergone a significant transformation, and the result has ushered in the era of the software-defined vehicle. Software has enabled safety, comfort, and sustainability that would have been impossible ten years ago.",https://www.csrwire.com/press_releases/794386-executive-predictions-2024-whats-next-automotive,02-07-24
Free Microbusiness Summit on February 24 ,"GoDaddy, the City of Las Vegas, Workforce Connections, and Bank of Nevada joined forces to sponsor the no-cost event. Entrance and parking are free, but registration is encouraged at https://bit.ly/MBSummitLV so that attendees can receive important updates.",https://www.csrwire.com/press_releases/794381-free-microbusiness-summit-february-24,02-07-24
On a Quest To Make All Chemistry Green Chemistry,The story behind a tool that helps chemists bring a greener lens to the bench.,https://www.csrwire.com/press_releases/794376-quest-make-all-chemistry-green-chemistry,02-07-24
The Coach Foundation Celebrates Five Years of Dream It Real,"In January, the Coach Foundation celebrated five years of creating opportunities and removing barriers for the next generation through its signature initiative, Dream It Real. To celebrate, the Foundation launched its first social impact report, The Courage to Dream It Real.",https://www.csrwire.com/press_releases/794371-coach-foundation-celebrates-five-years-dream-it-real,02-07-24
"Eastman Publishes 2023 I&D Report, “Embracing the Power of Inclusion”","Eastman has published its 2023 Inclusion & Diversity (I&D) Report, “Embracing the Power of Inclusion,” which highlights some of the progress the company has made on strengthening I&D, a core element of its culture and innovation strategy.",https://www.csrwire.com/press_releases/794366-eastman-publishes-2023-id-report-embracing-power-inclusion,02-07-24
Crown Holdings 2022 Sustainability Report: Raising Our Sustainability Profile,"Sustainability is not just about what we do—it is also about how we do it. We strive to reduce our impact across all our operations, supporting the drive for cleaner air, cleaner water and less waste.",https://www.csrwire.com/press_releases/794361-crown-holdings-2022-sustainability-report-raising-our-sustainability-profile,02-07-24
Pepco Warns Customers of Rising Phone Scams,"Be on the lookout for scam attempts claiming to be Pepco. In 2023, customers lost more than $205,000 to phone scams. ",https://www.csrwire.com/press_releases/794356-pepco-warns-customers-rising-phone-scams,02-07-24
 Meet U.S. Bank Chief Economist Beth Ann Bovino,"Living and working in New York City, Beth Ann Bovino was used to going to work and social events and feeling like her job as an economist didn’t hold the same fascination as the aspiring artists, writers and actors in the same room.",https://www.csrwire.com/press_releases/794351-meet-us-bank-chief-economist-beth-ann-bovino,02-07-24
Lead From Where You Are: Craft Your Story To Design Career Success,Join PNC Diversity & Inclusion for this special Black History Month event.,https://www.csrwire.com/press_releases/794346-lead-where-you-are-craft-your-story-design-career-success,02-07-24
"$500,000 Investment from KeyBank will Help CenterState CEO Expand Business Coaching and Technical Assistance Programs for BIPOC, Women and Veteran-owned Firms","A $500,000 investment from KeyBank through the CenterState CEO Foundation will help CenterState CEO expand business coaching and technical assistance programs for Black, Indigenous and other People of Color (BIPOC), women- and veteran-owned firms in Central New York. ",https://www.csrwire.com/press_releases/794341-500000-investment-keybank-will-help-centerstate-ceo-expand-business-coaching,02-07-24
Northwestern Mutual Named One of the “World’s Most Admired Companies”,Northwestern Mutual has been named one of the World's Most Admired Companies by FORTUNE magazine – a prestigious recognition the company has earned for several years. ,https://www.csrwire.com/press_releases/794336-northwestern-mutual-named-one-worlds-most-admired-companies,02-07-24
Medtronic: Green Flags To Look For in ID&E Reporting,"When reviewing an organization’s reporting on ID&E, here are a few “green flags” — or positive signs — to look out for.",https://www.csrwire.com/press_releases/794331-medtronic-green-flags-look-ide-reporting,02-07-24
Employee Profile: In the Community with Xavier Teal,"Xavier Teal is a true leader, devoted to selfless service in every area of his life. His ability to see the bigger picture has led him to freely give his time, knowledge, and encouragement to those around him in his career and community. ",https://www.csrwire.com/press_releases/794326-employee-profile-community-xavier-teal,02-07-24
Southern Company To Collaborate With Samsung SmartThings Starting in Mississippi,Southern Company and Samsung SmartThings have signed a Letter of Intent (LOI) to collaborate on a number of innovative projects that explore the intersection of consumer energy management and smart-home automation.,https://www.csrwire.com/press_releases/794321-southern-company-collaborate-samsung-smartthings-starting-mississippi,02-07-24
SAP’s Journey to Net Zero 2030,The world faces increasing climate and social crises. Comprehensive assessments have given us a deeper understanding of the science and the role of industry.,https://www.csrwire.com/press_releases/794316-saps-journey-net-zero-2030,02-07-24
What Lies Ahead: Baker Tilly’s Life Sciences Industry Outlook for 2024 and Beyond ,"As we progress into 2024, it’s evident that the life sciences industry has proven to be highly resilient. This past year has been stable for life sciences whereas other industries have struggled with rapidly evolving economic challenges.",https://www.csrwire.com/press_releases/794311-what-lies-ahead-baker-tillys-life-sciences-industry-outlook-2024-and-beyond,02-07-24
"5 Questions With Angel Jordan, Oportun's Senior Manager Security Engagement & Education","As a provider of consumer-facing financial services, our members entrust us with their data and financial futures, obligations we take seriously. Oportun invests in our systems and people in order to help ensure the integrity of our members’ data.",https://www.csrwire.com/press_releases/794306-5-questions-angel-jordan-oportuns-senior-manager-security-engagement,02-07-24
Tara Plimpton Named Woman of Impact,"Alabama-based Yellowhammer News recently announced its annual Women of Impact awards, and this year’s list includes Regions Chief Legal Officer and Corporate Secretary, Tara Plimpton.",https://www.csrwire.com/press_releases/794301-tara-plimpton-named-woman-impact,02-07-24
Building Cyber Safety Into the School Curriculum,"Gen understands the importance of building good digital habits early. That’s why Norton, a leader in consumer Cyber Safety and part of Gen, partnered with Discovery Education the worldwide education technology leader nurturing student curiosity and supporting educators.",https://www.csrwire.com/press_releases/794296-building-cyber-safety-school-curriculum,02-07-24
New Holland T7.270 Methane Power CNG Wins Innovation Award at LAMMA 2024,"The T7.270 Methane Power CNG Tractor, a product of New Holland (a brand of CNH) is a winner at the Lamma Show 2024 Innovation Awards, taking home honors in the Future Farming Innovation category.",https://www.csrwire.com/press_releases/794291-new-holland-t7270-methane-power-cng-wins-innovation-award-lamma-2024,02-07-24
"Roses Are Red, Violets Are Blue, We Have Sustainability Communication Tips for You!","Whether your organization is at the start of its sustainability and impact journey or years into it, many brands share a common concern: the uncertainty of whether they are sending stakeholders mixed messages.",https://www.csrwire.com/press_releases/794281-roses-are-red-violets-are-blue-we-have-sustainability-communication-tips-you,02-07-24
Abbott Launches New PROTALITY™ Brand To Support Adults on Their Weight Loss Journey,"Abbott (NYSE: ABT), a global leader in science-based nutrition, announced today the launch of its new PROTALITY™ brand. ",https://www.csrwire.com/press_releases/794266-abbott-launches-new-protalitytm-brand-support-adults-their-weight-loss,02-06-24
KeyBank Relocates Meridian Branch to West Chinden Boulevard,"KeyBank cut the ribbon on a new full-service branch in Meridian, Idaho on February 2 and the celebration included a donation to the Boys and Girls Clubs of Ada County. The new “Spurwing” branch is located at 3513 West Chinden Boulevard.",https://www.csrwire.com/press_releases/794261-keybank-relocates-meridian-branch-west-chinden-boulevard,02-06-24
Bristol Myers Squibb Named One of America’s Most JUST Companies by JUST Capital and CNBC,"Bristol Myers Squibb announced it has been recognized as One of America's Most JUST Companies. The ranking, presented by JUST Capital and CNBC, recognized BMS for its commitment to key social responsibilities, including employees, customers, communities, and environmental impact.",https://www.csrwire.com/press_releases/794256-bristol-myers-squibb-named-one-americas-most-just-companies-just-capital-and,02-06-24
Medtronic Named One of America's Most JUST Companies,The Rankings are the only measure of how the nation’s largest corporations are performing on the business issues that matter most to Americans.,https://www.csrwire.com/press_releases/794251-medtronic-named-one-americas-most-just-companies,02-06-24
Forest Certification: Committed to Third-Party Certification,Third-party certification confirms that science-based stakeholder developed forest management practices and continual improvement are occurring on all timberland across the Company. ,https://www.csrwire.com/press_releases/794246-forest-certification-committed-third-party-certification,02-06-24
Kids Go Electric at the DC Auto Show: Pepco Teams Up With WowWheelz for a Green Future in Fun-Filled Ride & Drive Event,This year’s DC Auto Show was phenomenal! The kids had the chance to experience electric vehicles and electrification firsthand. ,https://www.csrwire.com/press_releases/794241-kids-go-electric-dc-auto-show-pepco-teams-wowwheelz-green-future-fun-filled,02-06-24
Talking Workplace Innovation With Bacardi,"More than 160 years since the company was founded on the Caribbean island of Cuba, Bacardi is still family owned. The company’s 9,000 employees around the world are united by three cultural pillars, Fearless, Family and Founders, and refer to one another as ‘Primos’.",https://www.csrwire.com/press_releases/794236-talking-workplace-innovation-bacardi,02-06-24
"Frito-Lay, PepsiCo, and the PepsiCo Foundation Empower Dallas College Students with Hands-On Learning and Career Opportunities","Frito-Lay, in partnership with PepsiCo and the PepsiCo Foundation, proudly celebrate their continued support of Dallas College students and their collaboration with the college’s Advanced Transportation Technology Division to create workforce readiness opportunities.",https://www.csrwire.com/press_releases/794231-frito-lay-pepsico-and-pepsico-foundation-empower-dallas-college-students,02-06-24
MetLife Foundation Expands Employee-Driven Community Impact Grant Program With $1 Million Commitment,"MetLife Foundation today announced an additional $1 million commitment to its Community Impact Grant Program, which it launched in June of 2023. ",https://www.csrwire.com/press_releases/794226-metlife-foundation-expands-employee-driven-community-impact-grant-program-1,02-06-24
Recruiting Experts To Perform Environmental Benchmarks for Sustainable Supply Chain Initiative,The Consumer Goods Forum is currently seeking to recruit experts to perform benchmarks for the Sustainable Supply Chain Initiative (SSCI). ,https://www.csrwire.com/press_releases/794221-recruiting-experts-perform-environmental-benchmarks-sustainable-supply-chain,02-06-24
IP Creates Best Practice for the Safe Loading of Trailers With Baled Materials,"According to the latest numbers available from the U.S. Bureau of Labor Statistics, work-related injury incidents for recycling industry workers has increased.",https://www.csrwire.com/press_releases/794216-ip-creates-best-practice-safe-loading-trailers-baled-materials,02-06-24
Arkansas Steel Associates Go ZERO With Green and Clean Energy From Entergy Arkansas,"Arkansas Steel Associates is the among the first customers to cover 100 percent of their energy usage with offerings from Entergy Arkansas’ Go ZERO tariff, which gives commercial and industrial customers customizable options for green and clean energy.",https://www.csrwire.com/press_releases/794211-arkansas-steel-associates-go-zero-green-and-clean-energy-entergy-arkansas,02-06-24
AMD Named in Top 10 of America’s Most JUST Companies by JUST Capital and CNBC,"AMD is ranked 9th on America’s Most JUST Companies, recognizing the company’s commitment to serving its workers, customers, communities, the environment, and shareholders.",https://www.csrwire.com/press_releases/794206-amd-named-top-10-americas-most-just-companies-just-capital-and-cnbc,02-06-24
Overcome the Challenges of the Modern Workplace With a Tailored Sustainability Strategy,"We’ve all experienced huge changes in the workplace over the past few years. We’ve dealt with a global pandemic, an energy crisis, an increasing awareness of climate change, and all this and more has taken its toll. ",https://www.csrwire.com/press_releases/794201-overcome-challenges-modern-workplace-tailored-sustainability-strategy,02-06-24
New Benevity Report Reveals a Surge in Corporate Volunteerism ,"Benevity Inc. the leading provider of global corporate purpose software, today released The State of Corporate Volunteering, a report from Benevity Impact Labs that reveals a surge in corporate volunteerism as companies seek ways to address the challenges of employee connection.",https://www.csrwire.com/press_releases/794196-new-benevity-report-reveals-surge-corporate-volunteerism,02-06-24
Boston Scientific: Sparking Social Change Through Volunteering,"Through its Signature Health Grant program, Boston Scientific offers financial support to boost health care communities in low- and middle-income countries around the world. ",https://www.csrwire.com/press_releases/794181-boston-scientific-sparking-social-change-through-volunteering,02-05-24
Maximus Foundation Ambassador Spotlight: Andre Price,"As a Foundation Ambassador, a Green Bay Packers fan, and leader of the Midwest Ambassador region, Andre Price carries a mantra daily.",https://www.csrwire.com/press_releases/794176-maximus-foundation-ambassador-spotlight-andre-price,02-05-24
ESG & the Clean Energy Transition,"Katherine Neebe, chief sustainability and philanthropy officer at Duke Energy, joins co-host Mandi McReynolds to discuss the company’s commitment to one of the largest clean energy transitions in North America. Mandi and Katherine explore the role of energy companies in ESG.",https://www.csrwire.com/press_releases/794171-esg-clean-energy-transition,02-05-24
"Gov. Whitmer Kicks Off State Tour in Benton Harbor, Focus on Housing Development","Just hours after delivering her sixth State of the State Address, Michigan Governor Gretchen Whitmer kicked off a state tour in Benton Harbor, checking out the Emma Jean Hull Flats on Riverview Drive.",https://www.csrwire.com/press_releases/794166-gov-whitmer-kicks-state-tour-benton-harbor-focus-housing-development,02-05-24
Embracing What is Possible: Meet Megan Roder,One of the most rewarding projects I have worked on during my career here at GoDaddy was launching a global employee referral and internal mobility tool for our employees. This tool focuses on the employee experience making it quick and easy to refer friends.,https://www.csrwire.com/press_releases/794161-embracing-what-possible-meet-megan-roder,02-05-24
"Five Students Win $45,000 in Scholarships in U.S. Bank Sweepstakes","Samuel Sievers was about to board the bus he takes to classes at the University of San Diego when an email came through on his phone telling him he’d won a $20,000 scholarship from U.S. Bank.",https://www.csrwire.com/press_releases/794156-five-students-win-45000-scholarships-us-bank-sweepstakes,02-05-24
DOW™ Paint Vision Ushers In the Future of Digital Paint Formulation,"By combining powerful data and decades of knowledge, DOW™ Paint Vision is a valuable partner in the move to digital, breaking down barriers so that formulators can spend more time innovating.",https://www.csrwire.com/press_releases/794151-dowtm-paint-vision-ushers-future-digital-paint-formulation,02-05-24
Investing in Success: How Covia’s Building a Workplace for Everyone,"Covia strives to cultivate a nurturing environment where team members with diverse backgrounds and experiences can thrive, recognizing that the success of a company is equal to the strength of its people.",https://www.csrwire.com/press_releases/794146-investing-success-how-covias-building-workplace-everyone,02-05-24
Baker Tilly’s BuzzHouse Podcast: The Affordable Housing Credit Improvement Act of 2023,"On this episode of BuzzHouse, hosts Don Bernards and Garrick Gibson sit down with Emily Cadik, Chief Executive Officer of the Affordable Housing Tax Credit Coalition (AHTCC).",https://www.csrwire.com/press_releases/794141-baker-tillys-buzzhouse-podcast-affordable-housing-credit-improvement-act-2023,02-05-24
